Tên;Phân loại;Đơn vị tính;Thực hiện năm 2021;Ước tính năm 2022;Năm 2022 so với năm 2021 (%)
Lúa đông xuân;Diện tích gieo trồng;Ha;2539.8;2526.02;99.46
Lúa đông xuân;Năng suất;Tạ/ha;69.17;59.03;85.35
Lúa đông xuân;Sản lượng;Tấn;17566.56;14911.62;84.89
Lúa mùa;Diện tích gieo trồng;Ha;2239;2279;101.79
Lúa mùa;Năng suất;Tạ/ha;63.92;57.75;90.35
Lúa mùa;Sản lượng;Tấn;14312.33;13161.76;91.96
Ngô;Diện tích gieo trồng;Ha;161.56;155.06;95.98
Ngô;Năng suất;Tạ/ha;59.11;58.88;99.61
Ngô;Sản lượng;Tấn;955.02;913;95.6
Khoai lang;Diện tích gieo trồng;Ha;254.2;230.78;90.79
Khoai lang;Năng suất;Tạ/ha;66.31;68.51;103.32
Khoai lang;Sản lượng;Tấn;1685.55;1581;93.8
Sắn;Diện tích gieo trồng;Ha;104.66;98.2;93.83
Sắn;Năng suất;Tạ/ha;58.44;61.3;104.91
Sắn;Sản lượng;Tấn;611.6;602;98.43
Mía;Diện tích gieo trồng;Ha;376;306.5;81.52
Mía;Năng suất;Tạ/ha;407.62;458.4;112.46
Mía;Sản lượng;Tấn;15326.65;14050;91.67
Thuốc lá;Diện tích gieo trồng;Ha;6.7;6.15;91.79
Thuốc lá;Năng suất;Tạ/ha;22.51;22.44;99.7
Thuốc lá;Sản lượng;Tấn;15.08;13.8;91.51
Lạc;Diện tích gieo trồng;Ha;371.76;318.14;85.58
Lạc;Năng suất;Tạ/ha;19.23;23.42;121.79
Lạc;Sản lượng;Tấn;714.79;745;104.23
Mè;Diện tích gieo trồng;Ha;138.65;147.29;106.23
Mè;Năng suất;Tạ/ha;10.17;10.32;101.48
Mè;Sản lượng;Tấn;141;152;107.8
Rau;Diện tích gieo trồng;Ha;926.13;952.74;102.87
Rau;Năng suất;Tạ/ha;161.12;181.95;112.93
Rau;Sản lượng;Tấn;14922.02;17335.2;116.17
Đậu;Diện tích gieo trồng;Ha;120.34;114.04;94.76
Đậu;Năng suất;Tạ/ha;11.49;11.6;100.98
Đậu;Sản lượng;Tấn;138.25;132.3;95.7
Hoa;Diện tích gieo trồng;Ha;111.89;118.2;105.64
Hoa;Sản lượng;1000 bông;5671.12;5728;101
