Tên;Phân loại;Đơn vị tính;Thực hiện năm 2022;Ước tính năm 2023;Năm 2023 so với năm 2022 (%)
Chè;Diện tích trồng;Ha;72;70;97.22
Chè;Diện tích thu hoạch;Ha;72;70;97.22
Chè;Năng suất;Tạ/ha;62.5;64.43;103.09
Chè;Sản lượng;Tấn;450;451;100.22
Hồ tiêu;Diện tích trồng;Ha;45;44;97.78
Hồ tiêu;Diện tích thu hoạch;Ha;44.5;44;98.88
Hồ tiêu;Năng suất;Tạ/ha;14.16;13.64;96.32
Hồ tiêu;Sản lượng;Tấn;63;60;95.24
Điều;Diện tích trồng;Ha;17.5;17;97.14
Điều;Diện tích thu hoạch;Ha;17.5;17;97.14
Điều;Năng suất;Tạ/ha;48;46.47;96.81
Điều;Sản lượng;Tấn;84;79;94.05
Dừa;Diện tích trồng;Ha;32;29.75;92.97
Dừa;Diện tích thu hoạch;Ha;32;22.75;71.09
Dừa;Năng suất;Tạ/ha;143.75;197.8;137.6
Dừa;Sản lượng;Tấn;460;450;97.83
Xoài;Diện tích trồng;Ha;60.17;60.17;100
Xoài;Diện tích thu hoạch;Ha;60.17;60.17;100
Xoài;Năng suất;Tạ/ha;12.8;13.05;101.95
Xoài;Sản lượng;Tấn;77;78.5;101.95
Chuối;Diện tích trồng;Ha;286.19;286.19;100
Chuối;Diện tích thu hoạch;Ha;280;280;100
Chuối;Năng suất;Tạ/ha;82.14;86.07;104.78
Chuối;Sản lượng;Tấn;2300;2410;104.78
Thanh long;Diện tích trồng;Ha;30.1;30.1;100
Thanh long;Diện tích thu hoạch;Ha;29.6;25;84.46
Thanh long;Năng suất;Tạ/ha;19.93;24;120.41
Thanh long;Sản lượng;Tấn;59;60;101.69
Dứa;Diện tích trồng;Ha;26.2;26.2;100
Dứa;Diện tích thu hoạch;Ha;25.57;25.57;100
Dứa;Năng suất;Tạ/ha;162.3;166.21;102.41
Dứa;Sản lượng;Tấn;415;425;102.41
Mít;Diện tích trồng;Ha;35.98;58.97;163.9
Mít;Diện tích thu hoạch;Ha;31.1;22.81;73.34
Mít;Năng suất;Tạ/ha;196.14;271.81;138.58
Mít;Sản lượng;Tấn;610;620;101.64
Cam;Diện tích trồng;Ha;32.83;33.41;101.77
Cam;Diện tích thu hoạch;Ha;31.41;33.41;106.37
Cam;Năng suất;Tạ/ha;51.26;49.39;96.35
Cam;Sản lượng;Tấn;161;165;102.48
Quýt;Diện tích trồng;Ha;14.2;14;98.59
Quýt;Diện tích thu hoạch;Ha;14.18;14;98.73
Quýt;Năng suất;Tạ/ha;38.79;40;103.13
Quýt;Sản lượng;Tấn;55;56;101.82
Chanh;Diện tích trồng;Ha;25.9;5.35;20.66
Chanh;Diện tích thu hoạch;Ha;22.05;4.6;20.86
Chanh;Năng suất;Tạ/ha;158.73;282.61;178.04
Chanh;Sản lượng;Tấn;350;130;37.14
Bưởi;Diện tích trồng;Ha;74.5;79.37;106.54
Bưởi;Diện tích thu hoạch;Ha;72.5;63.93;88.18
Bưởi;Năng suất;Tạ/ha;63.45;75.86;119.57
Bưởi;Sản lượng;Tấn;460;485;105.43
